Name                              | Adress                                  | Homepage                   | Telephone          | Email                     | Opening Hours                                                    | Description
12 - Karma Food                   | Ausstellungsstr. 63, 1020 Wien          | www.12.co.at               | +43 676 914 8012   | hallo@12.co.at            | Mo-Fr 9-17, Sa. 9-15                                             | Tetx
12 - Karma Food                   | Laurenzerberg 3, 1010 Wien              | www.12.co.at               | +43 676 913 8012   | hallo@12.co.at            | Mo-Fr. 11-15                                                     | Text
1683 Handmade Bages & Farm Coffee | Whäringer Str. 12, 1090 Wien            | www.bagel1683.at           | +43 664 2639936    |                           | Mo-Fr. 7:30-18:30, Sa + So + Feiertags 9:30-18:30                | Text
Allergiker Café                   | Wiedner Hauptstr. 35, 1040 Wien         |                            | +43 660 5371007    | kontakt@allergikercafe.at | Di-Fr. 9:30-19,Sa. 10-16                                         | Text
Avalon Kultur                     | Pfeilgasse 27, 1080 Wien                | www.avalonkultur.at        | +43 1 942 5365     |                           | Mo-Fr. 17-20, Sa 18-20                                           | Text
Bao Bar                           | Zollergasse 2, 1070 Wien                | www.baobar.at              |                    |                           | Mo-Sa. 10-20h                                                    | Text
Baschly 1090                      | Schwarzspanierstr. 22, 1090 Wien        | www.baschly.com            | +43 1 729 7900     |                           | Mo-Do. 11-19                                                     | Text
Bio-Pizzeria Vero                 | Whäringer Gürtel 162, 1090 Wien         | www.vero.co.at             | +43 1 310 1179     |                           | Mo-Fr. 11:30-14:30 & 17:30-22:30, Sa + So + Feiertag 11:30-22:30 | Text
Biodeli                           | Gumpendorfer Str. 36, 1060 Wien         | www.biodeli.at             | +43 1 347 3335     | servus@biodeli.at         | Mo-Fr 9-16                                                       | Text
Biodeli                           | Otto-Bauer-Gasse 11, 1060 Wien          | www.biodeli.at             | +43 1 347 3335     | servus@biodeli.at         | Mo-Fr 9-16                                                       | Text
Brasseria De La Marie             | Amerlingstr. 15, 1060 Wien              | www.brasseriedelamarie.com | +43 664 154 7737   |                           | Mo-Fr. 11-23, Sa 10-23:45                                        | Text
Buchcafè Melange                  | Reindorfgasse 42, 1150 Wien             | www.buchcafe-melange.com   | +43 677 619 705 28 |                           | Di – Fr. 10-13 & 13:30-18:30, Sa. 10-15                          | Text
Bäckerei Felzl                    | Lerchenfelderstr. 99-101, 1070 Wien     | www.felzl.at               | +43 1 522 3809     |                           | Mo-Fr. 6-19, Sa. 6-17, So + Feiertag 7-12:30                     | Text
Café Caspar                       | Grillparzerstr. 6, 1010 Wien            | www.cafecaspar.com         | +43 1 957 6793     | hallo@cafecaspar.com      | Mo-Fr. 11-23                                                     | Text
Café Comet / Fürth Kaffee         | Kirchengasse 44, 1070 Wien              | www.fuerthkaffe.eu         | +43 664 130 3066   |                           | Di-Fr. 9-18, Sa. 10-17, So. 11-16                                | Text
